"cell","Agbl1","Angptl4","Bank1","Ccl5","Ccr9","Cd226","Cd44","Cd79a","Chil3","Cldn5","Col1a2","Col3a1","Col4a1","Col6a1","Col6a2","Col6a3","Ddx60","Dhx58","Gzma","H5NA","HA","Ifi30","Ifi35","Ifih1","Ifit1","Ifit2","Ifit3","Isg15","Kcnip4","M","NP","NS","Nectin2","PA","PA.97T","PA.T97I","PB1","PB2","PB2.192E","PB2.220I","PB2.627E","PB2.E192K","PB2.E627K","PB2.I220V","Pkib","Prickle2","Retnlg","Rsad2","S100a8","S100a9","Samhd1","Sdc2","Sdc4","Sftpa1","Sftpb","St8sia6","Stat1","Tlr4","Usp18","Znfx1"
"(782.18, 1415.99)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,0,0,0,0,3,1,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,4,3,6,0,0,0,0,4
"(782.25, 2493.19)",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,1,1,0,0,4,1
"(782.97, 1580.48)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"(783.15, 2804.06)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0
"(783.77, 1354.23)",5,0,0,0,0,0,0,0,0,7,3,1,0,2,1,0,5,0,0,0,2,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,1,0,1
"(784.58, 1546.39)",0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,5,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,0,0,0,12,6,0,0,0,3,2,3,6
"(786.36, 1819.38)",5,7,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,6,0,0,2,4,3,0,4,0,1,0,1,6
"(786.75, 2476.23)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,2
"(786.96, 1466.03)",0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3
"(787.03, 736.51)",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,5,2,0,0,0,0,1,7
"(787.93, 2672.97)",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2
"(788.27, 988.04)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1
"(788.31, 1154.42)",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(788.81, 2607.51)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"(788.92, 2730.86)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,5,0,0,0,0,0,0,1
"(789.48, 910.19)",1,5,0,0,0,0,0,0,0,0,5,2,0,13,4,0,3,0,0,0,0,0,1,2,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,3,25,7,6,0,5,0,0,4
"(789.87, 37.90)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
"(79.25, 1923.10)",0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,1,1,0,7,3
"(79.47, 1609.19)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"(790.13, 1092.65)",1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,1
"(790.24, 1848.03)",1,2,1,0,0,0,0,0,0,0,4,6,0,5,0,0,11,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,7,2,0,0,0,0,0,5,0,0,0,17,27,2,2,0,4,1,2,9
"(790.62, 2647.55)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"(791.05, 2138.58)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,1
"(791.27, 521.96)",1,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,11,0,0,0,0,0,1,4,0,0,0,1,0,1,0,4,0,0,0,0,1,0,1,0,12,0,0,0,0,1,0,4,0,0,0,0,14,5,5,0,3,0,3,1
"(791.41, 1166.71)",3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1,1,0,0,0,1
"(791.70, 791.35)",0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,5,0,0,0,1,0,0,4
