,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,cluster
2449,"(2131.96, 1291.34)",0,3,0,0,0,0,0,0,0,1,4,0,0,1,0,0,27,0,0,1,1,3,1,1,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,7,5,0,0,0,3,1,0,8,Fibroblasts
2450,"(2134.61, 2261.64)",0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,5,0,0,1,0,0,1,Epithelial_cells
2451,"(2135.85, 2505.80)",3,0,0,0,1,0,0,0,0,6,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,2,0,0,1,Endothelial_cells
2452,"(2136.14, 271.84)",0,5,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,Neutrophils
2453,"(2138.61, 2020.40)",3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Undefined
2454,"(214.91, 1768.82)",7,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,Endothelial_cells
2455,"(2140.09, 310.98)",1,2,0,0,0,0,0,0,0,2,5,3,0,1,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,3,7,0,0,0,4,0,0,5,Fibroblasts
2456,"(2140.10, 2180.30)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,B_cells
2457,"(2140.66, 2146.14)",1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,1,0,0,1,1,3,0,0,0,0,9,0,0,33,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,24,5,12,0,3,0,4,6,Epithelial_cells
2458,"(2142.08, 2637.58)",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,Fibroblasts
2459,"(2142.64, 2750.01)",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,1,0,0,6,Endothelial_cells
2460,"(2144.08, 2783.87)",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,Fibroblasts
2461,"(2144.66, 2491.08)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,Epithelial_cells
2462,"(2144.93, 1159.14)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,Undefined
2463,"(2145.30, 2625.79)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Endothelial_cells
